doi,articleType,citationStyle,citationStringAnnotated
10.2307/2221216,3,0,"<author><family>Fay</family>, <given>C. R.</given> and <family>Aves</family>, <given>Ernest</given></author> (<issued><year>1908</year></issued>) <title>â€œCo-operative Industry.â€</title> <container-title>The Economic Journal</container-title>, <volume>18</volume>(<issue>69</issue>), p. <page>79</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/2221216</URL>"
10.1186/1743-422x-6-60,3,0,"<author><family>Faurez</family>, <given>Florence</given>, <family>Dory</family>, <given>Daniel</given>, <family>Grasland</family>, <given>Beatrice</given> and <family>Jestin</family>, <given>Andre</given></author> (<issued><year>2009</year></issued>) <title>â€œReplication of porcine circoviruses.â€</title> <container-title>Virology Journal</container-title>, <volume>6</volume>(<issue>1</issue>), p. <page>60</page>. [online] Available from: <URL>http://dx.doi.org/10.1186/1743-422x-6-60</URL>"
10.1530/ey.15.12.16,3,0,"<author><family>LE</family>, <given>Levitt Katz</given>, <family>F</family>, <given>Bacha</given>, <family>SS</family>, <given>Gidding</given>, <family>RS</family>, <given>Weinstock</given>, et al.</author> (<issued><year>2018</year></issued>) <title>â€œLipid Profiles, Inflammatory Markers, and Insulin Therapy in Youth with Type 2 Diabetes.â€</title> <container-title>Yearbook of Paediatric Endocrinology</container-title>. [online] Available from: <URL>http://dx.doi.org/10.1530/ey.15.12.16</URL>"
10.1107/s0108767300028725,3,0,"<author><family>Cuello</family>, <given>G. J.</given>, <family>FernÃ¡ndez Guillermet</family>, <given>A.</given>, <family>Aurelio</family>, <given>G.</given> and <family>Campo</family>, <given>J.</given></author> (<issued><year>2000</year></issued>) <title>â€œMetastable Structures, Bonding Properties and Phase Transitions in Alloys of the Zr-Nb and Ti-V Systems.â€</title> <container-title>Acta Crystallographica Section A Foundations of Crystallography</container-title>, <volume>56</volume>(<issue>s1</issue>), pp. <page>s422â€“s422</page>. [online] Available from: <URL>http://dx.doi.org/10.1107/s0108767300028725</URL>"
10.1016/s0304-4076(01)00050-1,3,0,"<author><family>Hasan</family>, <given>Mohammad N.</given></author> (<issued><year>2001</year></issued>) <title>â€œRank tests of unit root hypothesis with infinite variance errors.â€</title> <container-title>Journal of Econometrics</container-title>, <volume>104</volume>(<issue>1</issue>), pp. <page>49â€“65</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/s0304-4076(01)00050-1</URL>"
10.2957/kanzo.25.235,3,0,"<author>YAMAMOTO Shinichiro, FUKUSHIMA Keisuke, HINO Kazunari, OHUMI Tsuneyo, et al.</author> (<issued><year>1984</year></issued>) <container-title>Kanzo</container-title>, <volume>25</volume>(<issue>2</issue>), pp. <page>235â€“240</page>. [online] Available from: <URL>http://dx.doi.org/10.2957/kanzo.25.235</URL>"
10.1007/b97494,5,0,"<author><family>Mannis</family>, <given>Mark J.</given>, <family>Zadnik</family>, <given>Karla</given>, <family>Coral-Ghanem</family>, <given>Cleusa</given> and <family>Kara-JosÃ©</family>, <given>Newton</given></author> (<issued><year>2004</year></issued>) <title>Contact Lenses in Ophthalmic Practice</title>, <publisher>Springer New York</publisher>. [online] Available from: <URL>http://dx.doi.org/10.1007/b97494</URL>"
10.1111/j.1467-9663.1991.tb00794.x,3,0,"Anon (<issued><year>1991</year></issued>) <title>â€œABSTRACTS OF CONTRIBUTIONS.â€</title> <container-title>Tijdschrift voor Economische en Sociale Geografie</container-title>, <volume>82</volume>(<issue>5</issue>), pp. <page>321â€“322</page>. [online] Available from: <URL>http://dx.doi.org/10.1111/j.1467-9663.1991.tb00794.x</URL>"
10.1038/160009a0,3,0,"<author><family>BULLOUGH*</family>, <given>W. S.</given></author> (<issued><year>1947</year></issued>) <title>â€œHermaphroditism in the Lower Vertebrates.â€</title> <container-title>Nature</container-title>, <volume>160</volume>(<issue>4053</issue>), pp. <page>9â€“11</page>. [online] Available from: <URL>http://dx.doi.org/10.1038/160009a0</URL>"
10.1016/s0140-6736(13)61674-8,3,0,"Anon (<issued><year>2013</year></issued>) <title>â€œDepartment of Error.â€</title> <container-title>The Lancet</container-title>, <volume>382</volume>(<issue>9890</issue>), p. <page>396</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/s0140-6736(13)61674-8</URL>"
10.1017/s0261444800001531,3,0,"Anon (<issued><year>1970</year></issued>) <title>â€œStudies of particular languages.â€</title> <container-title>Language Teaching</container-title>, <volume>3</volume>(<issue>01</issue>), p. <page>8</page>. [online] Available from: <URL>http://dx.doi.org/10.1017/s0261444800001531</URL>"
10.1002/eej.v177.3,37,0,"Anon (<issued><year>2011</year></issued>) <container-title>Electrical Engineering in Japan</container-title>, <volume>177</volume>(<issue>3</issue>). [online] Available from: <URL>http://dx.doi.org/10.1002/eej.v177.3</URL>"
10.1051/apido:19940102,3,0,"<author><family>Brunel</family>, <given>E.</given>, <family>Mesquida</family>, <given>J.</given>, <family>Renard</family>, <given>M.</given> and <family>Tanguy</family>, <given>X.</given></author> (<issued><year>1994</year></issued>) <title>â€œRÃ©partition de lâ€™entomofaune pollinisatrice sur des fleurs de colza (Brassica napus L) et de navette (Brassica campestris L)â€¯: incidence du caractÃ¨re apÃ©tale de la navetteâ€</title>. <container-title>Apidologie</container-title>, <volume>25</volume>(<issue>1</issue>), pp. <page>12â€“20</page>. [online] Available from: <URL>http://dx.doi.org/10.1051/apido:19940102</URL>"
10.1007/bf00707356,3,0,"<author><family>Keith</family>, <given>David V.</given>, <family>Westman</family>, <given>Jack C.</given> and <family>Whitaker</family>, <given>Carl A.</given></author> (<issued><year>1988</year></issued>) <title>â€œContrasting child psychiatry and family therapy.â€</title> <container-title>Child Psychiatry & Human Development</container-title>, <volume>19</volume>(<issue>2</issue>), pp. <page>87â€“97</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/bf00707356</URL>"
10.2172/4828691,27,0,"<author><family>Ruzich</family>, <given>K.C.</given> and <family>Sturm</family>, <given>W.J. eds.</given></author> (<issued><year>1962</year></issued>) <title>HAZARD SUMMARY REPORT FOR THE ARGONNE AGN-201 REACTOR</title>, <publisher>Office of Scientific and Technical Information  (OSTI)</publisher>. [online] Available from: <URL>http://dx.doi.org/10.2172/4828691</URL>"
10.5505/tjtes.2018.50284,3,0,"<author><family>Darocha</family>, <given>Tomasz</given></author> (<issued><year>2018</year></issued>) <title>â€œPrehospital Emergency Thoracotomy Performed by Helicopter Emergency Medical Service Teamâ€”A Case Report.â€</title> <container-title>Turkish Journal of Trauma and Emergency Surgery</container-title>. [online] Available from: <URL>http://dx.doi.org/10.5505/tjtes.2018.50284</URL>"
10.2307/3650583,3,0,"<author><family>Scherff</family>, <given>Lisa</given>, <family>Holden</family>, <given>James</given> and <family>Schmit</family>, <given>John S.</given></author> (<issued><year>2003</year></issued>) <title>â€œOne â€˜How-Toâ€™ Book That Will Be Used Oftenâ€</title>. <container-title>The English Journal</container-title>, <volume>93</volume>(<issue>1</issue>), p. <page>110</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/3650583</URL>"
10.2307/1865245,3,0,"<author><family>Walker</family>, <given>Lawrence D.</given>, <family>Stachura</family>, <given>Peter D.</given> and <family>Merkl</family>, <given>Peter H.</given></author> (<issued><year>1977</year></issued>) <title>â€œNazi Youth in the Weimar Republic.â€</title> <container-title>The American Historical Review</container-title>, <volume>82</volume>(<issue>4</issue>), p. <page>1007</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/1865245</URL>"
10.2165/00151234-200705340-00021,3,0,"Anon (<issued><year>2007</year></issued>) <title>â€œOlder patients and Black patients are less likely to receive intensive treatment for locoregional oesophageal cancer than younger, White patients,.â€</title> <container-title>PharmacoEconomics & Outcomes News</container-title>, <volume>534</volume>(<issue>1</issue>), pp. <page>8â€“8</page>. [online] Available from: <URL>http://dx.doi.org/10.2165/00151234-200705340-00021</URL>"
10.1017/s0250569x00015478,3,0,"<author><family>de Preux</family>, <given>Jean</given></author> (<issued><year>1989</year></issued>) <title>â€œTexto de sÃ­ntesis IX â€” Respeto debido a la persona humana en los Convenios de Ginebra.â€</title> <container-title>Revista Internacional de la Cruz Roja</container-title>, <volume>14</volume>(<issue>93</issue>), p. <page>233</page>. [online] Available from: <URL>http://dx.doi.org/10.1017/s0250569x00015478</URL>"
10.1109/iceei.2015.7352587,22,0,"<author><family>Kamal</family>, <given>Nor Ashikin Mohamad</given>, <family>Bakar</family>, <given>Azuraliza Abu</given> and <family>Zainudin</family>, <given>Suhaila</given></author> (<issued><year>2015</year></issued>) <title>â€œFilter-wrapper approach to feature selection of GPCR protein,â€</title> in <container-title>2015 International Conference on Electrical Engineering and Informatics (ICEEI)</container-title>, <publisher>IEEE</publisher>. [online] Available from: <URL>http://dx.doi.org/10.1109/iceei.2015.7352587</URL>"
10.1055/s-0038-1632084,3,0,"<author><family>Vetter</family>, <given>Christine</given></author> (<issued><year>2011</year></issued>) <title>â€œFortgeschrittenes Rektumkarzinom: Capecitabin als â€žStrahlensensitizerâ€ in der Neoadjuvanzâ€</title>. <container-title>Onkologische Welt</container-title>, <volume>02</volume>(<issue>05</issue>), pp. <page>212â€“212</page>. [online] Available from: <URL>http://dx.doi.org/10.1055/s-0038-1632084</URL>"
10.1080/01616412.1986.11739760,3,0,"<author><family>Schroeder</family>, <given>Torben</given></author> (<issued><year>1986</year></issued>) <title>â€œCerebrovascular reactivity to acetazolamide in carotid artery disease: Enhancement of side-to-side CBF asymmetry indicates critically reduced perfusion pressure.â€</title> <container-title>Neurological Research</container-title>, <volume>8</volume>(<issue>4</issue>), pp. <page>231â€“236</page>. [online] Available from: <URL>http://dx.doi.org/10.1080/01616412.1986.11739760</URL>"
10.1109/tcs.1982.1085115,3,0,"<author><family>Antreich</family>, <given>K.</given> and <family>Koblitz</family>, <given>R.</given></author> (<issued><year>1982</year></issued>) <title>â€œDesign centering by yield prediction.â€</title> <container-title>IEEE Transactions on Circuits and Systems</container-title>, <volume>29</volume>(<issue>2</issue>), pp. <page>88â€“96</page>. [online] Available from: <URL>http://dx.doi.org/10.1109/tcs.1982.1085115</URL>"
10.1080/03680770.1983.11897704,3,0,"<author><family>Eloranta</family>, <given>Varpu</given> and <family>Halttunen-KeyrilÃ¤inen</family>, <given>Liisa</given></author> (<issued><year>1985</year></issued>) <title>â€œSome aspects on algal toxicity tests with natural phytoplankton.â€</title> <container-title>SIL Proceedings, 1922-2010</container-title>, <volume>22</volume>(<issue>4</issue>), pp. <page>2463â€“2468</page>. [online] Available from: <URL>http://dx.doi.org/10.1080/03680770.1983.11897704</URL>"
10.1093/nq/s8-xii.289.34b,3,0,"<author><family>Coleman</family>, <given>Everard Home</given></author> (<issued><year>1897</year></issued>) <title>â€œThe bishopric of Ossory.â€</title> <container-title>Notes and Queries</container-title>, <volume>s8-XII</volume>(<issue>289</issue>), pp. <page>34â€“34</page>. [online] Available from: <URL>http://dx.doi.org/10.1093/nq/s8-xii.289.34b</URL>"
10.3109/03091908309032592,3,0,"<author><family>Kenyon</family>, <given>N. G.</given>, <family>Hebron</family>, <given>B. S.</given>, <family>Newby</family>, <given>D. M.</given>, <family>Spottiswoode</family>, <given>W. N.</given> and <family>Boucher</family>, <given>C. J.</given></author> (<issued><year>1983</year></issued>) <title>â€œA microcomputer system for the identification of drug interactions.â€</title> <container-title>Journal of Medical Engineering & Technology</container-title>, <volume>7</volume>(<issue>5</issue>), pp. <page>243â€“246</page>. [online] Available from: <URL>http://dx.doi.org/10.3109/03091908309032592</URL>"
10.1021/ol0709533,3,0,"<author><family>Chen</family>, <given>Chien-Sheng</given>, <family>Wu</family>, <given>Shih-Hsiung</given>, <family>Wu</family>, <given>Ying-Ying</given>, <family>Fang</family>, <given>Jim-Min</given> and <family>Wu</family>, <given>Tzu-Hua</given></author> (<issued><year>2007</year></issued>) <title>â€œProperties of Astaxanthin/Ca2+Complex Formation in the Deceleration of Cis/Trans Isomerization.â€</title> <container-title>Organic Letters</container-title>, <volume>9</volume>(<issue>16</issue>), pp. <page>2985â€“2988</page>. [online] Available from: <URL>http://dx.doi.org/10.1021/ol0709533</URL>"
10.1097/01.ccm.0000529520.42328.e5,3,0,"<author><family>Nelson Sanchez-Pinto</family>, <given>L.</given>, <family>Mayampurath</family>, <given>Anoop</given> and <family>Volchenboum</family>, <given>Samuel</given></author> (<issued><year>2018</year></issued>) <title>â€œ1518.â€</title> <container-title>Critical Care Medicine</container-title>, <volume>46</volume>, p. <page>743</page>. [online] Available from: <URL>http://dx.doi.org/10.1097/01.ccm.0000529520.42328.e5</URL>"
10.1530/acta.0.0970315,3,0,"<author><family>Mollica</family>, <given>F.</given>, <family>Li Volti</family>, <given>S.</given>, <family>Pavone</family>, <given>L.</given>, <family>Vigo</family>, <given>R.</given> and <family>Raiti</family>, <given>S.</given></author> (<issued><year>1981</year></issued>) <title>â€œConvergence of two types of familial short stature in a pedigree.â€</title> <container-title>Acta Endocrinologica</container-title>, <volume>97</volume>(<issue>3</issue>), pp. <page>315â€“319</page>. [online] Available from: <URL>http://dx.doi.org/10.1530/acta.0.0970315</URL>"
10.1093/benz/9780199773787.article.b00045469,38,0,"Anon (<issued><year>2011</year></issued>) <title>â€œCuvillier, EugÃ¨ne H. E.â€</title> <container-title>Benezit Dictionary of Artists</container-title>. [online] Available from: <URL>http://dx.doi.org/10.1093/benz/9780199773787.article.b00045469</URL>"
10.18023/kjece.2010.30.2.014,3,0,"<author><family>Hyanglim Kwak</family> and ì•ˆê²½ìˆ™</author> (<issued><year>2010</year></issued>) <title>â€œReflections on teacher-directed teaching and learning: From the perspectives of both teachersâ€™ and childrenâ€™s livesâ€</title>. <container-title>Korean Journal of Early Childhood Education</container-title>, <volume>30</volume>(<issue>2</issue>), pp. <page>309â€“337</page>. [online] Available from: <URL>http://dx.doi.org/10.18023/kjece.2010.30.2.014</URL>"
10.4028/www.scientific.net/amm.422.279,3,0,"<author><family>Deng</family>, <given>Yong Jiang</given></author> (<issued><year>2013</year></issued>) <title>â€œThe Research on Label Propagation Algorithm and Improvement Based on Local Information Mechanism.â€</title> <container-title>Applied Mechanics and Materials</container-title>, <volume>422</volume>, pp. <page>279â€“284</page>. [online] Available from: <URL>http://dx.doi.org/10.4028/www.scientific.net/amm.422.279</URL>"
10.2753/pet1061-1991150327,3,0,"<author><family>Shilin</family>, <given>I. G.</given></author> (<issued><year>1972</year></issued>) <title>â€œProblems in Planning and Stimulating Technical Progress.â€</title> <container-title>Problems in Economics</container-title>, <volume>15</volume>(<issue>3</issue>), pp. <page>27â€“45</page>. [online] Available from: <URL>http://dx.doi.org/10.2753/pet1061-1991150327</URL>"
10.1201/9780203740071-20,7,0,"<author><family>Egley</family>, <given>Grant H.</given></author> (<issued><year>2017</year></issued>) <title>â€œSeed Germination in Soil: Dormancy Cycles,â€</title> in <container-title>Seed Development and Germination</container-title>, <publisher>Routledge</publisher>, pp. <page>529â€“543</page>. [online] Available from: <URL>http://dx.doi.org/10.1201/9780203740071-20</URL>"
10.1142/9789814343527_fmatter,42,0,"<author><family>Crawley</family>, <given>Gerard M.</given></author> (<issued><year>2013</year></issued>) <title>â€œFRONT MATTER.â€</title> <container-title>Materials and Energy</container-title>, pp. <page>iâ€“xxii</page>. [online] Available from: <URL>http://dx.doi.org/10.1142/9789814343527_fmatter</URL>"
10.1016/j.ijleo.2015.02.055,3,0,"<author><family>Wu</family>, <given>Hao</given>, <family>Miao</family>, <given>Zhenjiang</given>, <family>Zhang</family>, <given>Qiang</given>, <family>Xu</family>, <given>Wuran</given> and <family>Zhou</family>, <given>Tianyu</given></author> (<issued><year>2015</year></issued>) <title>â€œImage recognition with no or few instances by sharing attributes.â€</title> <container-title>Optik</container-title>, <volume>126</volume>(<issue>7â€“8</issue>), pp. <page>744â€“748</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/j.ijleo.2015.02.055</URL>"
10.1016/j.procir.2015.12.109,3,0,"<author><family>Choi</family>, <given>Yong-Chan</given></author> (<issued><year>2016</year></issued>) <title>â€œDispatching Rule-based Scheduling Algorithms in a Single Machine with Sequence-dependent Setup Times and Energy Requirements.â€</title> <container-title>Procedia CIRP</container-title>, <volume>41</volume>, pp. <page>135â€“140</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/j.procir.2015.12.109</URL>"
10.1016/1051-9815(96)00188-x,3,0,"<author><family>Partridge</family></author> (<issued><year>1996</year></issued>) <container-title>Work</container-title>, <volume>7</volume>, p. <page>63</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/1051-9815(96)00188-x</URL>"
10.1007/978-3-319-12127-7_190-1,7,0,"<author><family>Oommen</family>, <given>Thomas</given></author> (<issued><year>2016</year></issued>) <title>â€œLiquefaction,â€</title> in <container-title>Encyclopedia of Earth Sciences Series</container-title>, <publisher>Springer International Publishing</publisher>, pp. <page>1â€“2</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/978-3-319-12127-7_190-1</URL>"
10.1163/9789004324749_051,7,0,"<author><family>Niditch</family>, <given>Susan</given></author> (n.d.) <title>â€œBeautiful Theories: Approaching Deut 21:1â€“9 as Ritual Performance and Narrative Medium,â€</title> in <container-title>         Sibyls, Scriptures, and Scrolls: John Collins at Seventy      </container-title>, <publisher>Brill</publisher>, pp. <page>958â€“972</page>. [online] Available from: <URL>http://dx.doi.org/10.1163/9789004324749_051</URL>"
10.1145/359642.359654,3,0,"<author><family>Freuder</family>, <given>Eugene C.</given></author> (<issued><year>1978</year></issued>) <title>â€œSynthesizing constraint expressions.â€</title> <container-title>Communications of the ACM</container-title>, <volume>21</volume>(<issue>11</issue>), pp. <page>958â€“966</page>. [online] Available from: <URL>http://dx.doi.org/10.1145/359642.359654</URL>"
10.3886/icpsr24383.v1,8,0,"<author><family>Hesse</family>, <given>Bradford</given> and <family>Moser</family>, <given>Richard</given></author> (<issued><year>2009</year></issued>) <title>â€œHealth Information National Trends Survey (HINTS), 2005.â€</title> <container-title>ICPSR Data Holdings</container-title>. [online] Available from: <URL>http://dx.doi.org/10.3886/icpsr24383.v1</URL>"
10.21456/vol8iss1pp76-83,3,0,"<author><family>Ridwan</family>, <given>Mochammad Arief</given> and <family>Rochimah</family>, <given>Siti</given></author> (<issued><year>2018</year></issued>) <title>â€œPeningkatan Akurasi Prediksi Waktu Perbaikan Bug dengan Pendekatan Partisi Data.â€</title> <container-title>JURNAL SISTEM INFORMASI BISNIS</container-title>, <volume>8</volume>(<issue>1</issue>), p. <page>76</page>. [online] Available from: <URL>http://dx.doi.org/10.21456/vol8iss1pp76-83</URL>"
10.1098/rspa.1935.0110,3,0,"Anon (<issued><year>1935</year></issued>) <title>â€œVapour pressure and condensation of radon at low temperatures.â€</title> <container-title>Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences</container-title>, <volume>150</volume>(<issue>870</issue>), pp. <page>395â€“410</page>. [online] Available from: <URL>http://dx.doi.org/10.1098/rspa.1935.0110</URL>"
10.1109/memea.2007.4285160,22,0,"<author><family>Alamri</family>, <given>Atif</given>, <family>Iglesias</family>, <given>Rosa</given>, <family>Eid</family>, <given>Mohamad</given>, <family>El Saddik</family>, <given>Abdulmotaleb</given>, et al.</author> (<issued><year>2007</year></issued>) <title>â€œHaptic Exercises for Measuring Improvement of Post-Stroke Rehabilitation Patients,â€</title> in <container-title>2007 IEEE International Workshop on Medical Measurement and Applications</container-title>, <publisher>IEEE</publisher>. [online] Available from: <URL>http://dx.doi.org/10.1109/memea.2007.4285160</URL>"
10.9783/9781512819779-009,7,0,"Anon (<issued><year>1987</year></issued>) <title>â€œConclusion: Stone Fruit,â€</title> in <container-title>Thoreauâ€™s Alternative History</container-title>, <publisher>University of Pennsylvania Press</publisher>. [online] Available from: <URL>http://dx.doi.org/10.9783/9781512819779-009</URL>"
10.1055/s-0035-1565366,3,0,"<author><family>Biney</family>, <given>RP</given>, <family>Boakye-Gyasi</family>, <given>E</given>, <family>Benneh</family>, <given>CK</given> and <family>Woode</family>, <given>E</given></author> (<issued><year>2015</year></issued>) <title>â€œNeuroprotective effects of xylopic acid on lipopolysaccharide-induced neuroinflammation.â€</title> <container-title>Planta Medica</container-title>, <volume>81</volume>(<issue>16</issue>). [online] Available from: <URL>http://dx.doi.org/10.1055/s-0035-1565366</URL>"
10.1016/0168-1176(93)87008-g,3,0,"<author><family>Walczyk</family>, <given>Thomas</given> and <family>Heumann</family>, <given>Klaus G.</given></author> (<issued><year>1993</year></issued>) <title>â€œIridium isotope ratio measurements by negative thermal ionization mass spectrometry and atomic weight of iridium.â€</title> <container-title>International Journal of Mass Spectrometry and Ion Processes</container-title>, <volume>123</volume>(<issue>2</issue>), pp. <page>139â€“147</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/0168-1176(93)87008-g</URL>"
10.1007/bf01374983,3,0,"<author><family>Gritsenko</family>, <given>V. A.</given></author> (<issued><year>1988</year></issued>) <title>â€œParabolic extensions of a Hecke ring of the general linear group.â€</title> <container-title>Journal of Soviet Mathematics</container-title>, <volume>43</volume>(<issue>4</issue>), pp. <page>2533â€“2540</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/bf01374983</URL>"
10.1143/jjap.36.l479,3,0,"<author><family>Peng</family>, <given>Dong Liang</given>, <family>Sumiyama</family>, <given>Kenji</given>, <family>Konno</family>, <given>Toyohiko J.</given> and <family>Suzuki</family>, <given>Kenji</given></author> (<issued><year>1997</year></issued>) <title>â€œPerpendicular Magnetic Anisotropy of Fe-Cr-N Films Prepared by DC Reactive Sputtering.â€</title> <container-title>Japanese Journal of Applied Physics</container-title>, <volume>36</volume>(<issue>Part 2, No. 4B</issue>), pp. <page>L479â€“L481</page>. [online] Available from: <URL>http://dx.doi.org/10.1143/jjap.36.l479</URL>"
10.1016/j.marpolbul.2003.10.033,3,0,"<author><family>Cozzi</family>, <given>S</given>, <family>Adami</family>, <given>G</given>, <family>Barbieri</family>, <given>P</given>, <family>Cantoni</family>, <given>C</given>, et al.</author> (<issued><year>2004</year></issued>) <title>â€œMatching monitoring and modelling in the Gulf of Trieste.â€</title> <container-title>Marine Pollution Bulletin</container-title>, <volume>48</volume>(<issue>5â€“6</issue>), pp. <page>587â€“592</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/j.marpolbul.2003.10.033</URL>"
10.1037/10502-003,7,0,"<author><family>Thompson</family>, <given>J. Kevin</given></author> (n.d.) <title>â€œAssessing body image disturbance: Measures, methodology, and implementation.,â€</title> in <container-title>Body image, eating disorders, and obesity: An integrative guide for assessment and treatment.</container-title>, <publisher>American Psychological Association</publisher>, pp. <page>49â€“81</page>. [online] Available from: <URL>http://dx.doi.org/10.1037/10502-003</URL>"
10.1016/0167-0115(87)90281-3,3,0,"<author><family>McIntosh</family>, <given>Christopher H.S.</given>, <family>Bakich</family>, <given>Victoria</given>, <family>Kwok</family>, <given>Yin Nam</given>, <family>Wong</family>, <given>Jeanny</given> and <family>Brown</family>, <given>John C.</given></author> (<issued><year>1987</year></issued>) <title>â€œThe effects of substance P, histamine and histamine antagonists on somatostatin and gastrin release from the isolated perfused rat stomach.â€</title> <container-title>Regulatory Peptides</container-title>, <volume>19</volume>(<issue>3â€“4</issue>), pp. <page>253â€“263</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/0167-0115(87)90281-3</URL>"
10.1126/science.266.5182.13,3,0,"<author><family>Molella</family>, <given>A.</given></author> (<issued><year>1994</year></issued>) <title>â€œSmithsonian Science Exhibit.â€</title> <container-title>Science</container-title>, <volume>266</volume>(<issue>5182</issue>), pp. <page>13â€“13</page>. [online] Available from: <URL>http://dx.doi.org/10.1126/science.266.5182.13</URL>"
10.1186/s12967-015-0698-3,3,0,"<author><family>Yang</family>, <given>Rachel L.</given>, <family>Mick</family>, <given>Rosemarie</given>, <family>Lee</family>, <given>Kathreen</given>, <family>Graves</family>, <given>Holly L.</given>, et al.</author> (<issued><year>2015</year></issued>) <title>â€œDCIS in BRCA1 and BRCA2 mutation carriers: prevalence, phenotype, and expression of oncodrivers C-MET and HER3.â€</title> <container-title>Journal of Translational Medicine</container-title>, <volume>13</volume>(<issue>1</issue>). [online] Available from: <URL>http://dx.doi.org/10.1186/s12967-015-0698-3</URL>"
10.1093/acprof:oso/9780199646111.003.0006,7,0,"<author><family>Scheipers</family>, <given>Sibylle</given></author> (<issued><year>2015</year></issued>) <title>â€œIrregular Fighters in the Twenty-First Century,â€</title> in <container-title>Unlawful Combatants</container-title>, <publisher>Oxford University Press</publisher>, pp. <page>188â€“222</page>. [online] Available from: <URL>http://dx.doi.org/10.1093/acprof:oso/9780199646111.003.0006</URL>"
10.3788/gzxb20114002.0300,3,0,"<author><family>MA Li-hong</family>, <given>é©¬åˆ©çº¢</given>, <family>WANG Hui</family>, <given>çŽ‹è¾‰</given>, <family>YONG Li</family>, <given>æŽå‹‡</given> and <family>DENG Li-jun</family>, <given>é‚“ä¸½å†›</given></author> (<issued><year>2011</year></issued>) <title>â€œEffect of System Parameters on the Reconstructed Image Quality in Digital Holographic Microscopy.â€</title> <container-title>ACTA PHOTONICA SINICA</container-title>, <volume>40</volume>(<issue>2</issue>), pp. <page>300â€“306</page>. [online] Available from: <URL>http://dx.doi.org/10.3788/gzxb20114002.0300</URL>"
10.1520/a0606_a0606m-18,41,0,"(n.d.) <title>â€œSpecification for Steel, Sheet and Strip, High-Strength, Low-Alloy, Hot-Rolled and Cold-Rolled, with Improved Atmospheric Corrosion Resistance.â€</title> [online] Available from: <URL>http://dx.doi.org/10.1520/a0606_a0606m-18</URL>"
10.1093/nq/s11-v.128.454f,3,0,"<author><family>Wigmore</family>, <given>J.</given></author> (<issued><year>1912</year></issued>) <title>â€œThe Fitzwilliam family.â€</title> <container-title>Notes and Queries</container-title>, <volume>s11-V</volume>(<issue>128</issue>), pp. <page>454â€“455</page>. [online] Available from: <URL>http://dx.doi.org/10.1093/nq/s11-v.128.454f</URL>"
10.2307/20020432,3,0,"<author><family>Jackson</family>, <given>C. Loring</given> and <family>Warren</family>, <given>W. H.</given></author> (<issued><year>1889</year></issued>) <title>â€œThe Reactions of Sodic Alcoholates with Tribromdinitrobenzol and Tribrom-Trinitrobenzol.â€</title> <container-title>Proceedings of the American Academy of Arts and Sciences</container-title>, <volume>25</volume>, p. <page>164</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/20020432</URL>"
10.1002/chin.197601352,3,0,"<author><family>BOCHKOV</family>, <given>A. F.</given>, <family>OBRUCHNIKOV</family>, <given>I. V.</given>, <family>KALINEVICH</family>, <given>V. M.</given> and <family>KOCHETKOV</family>, <given>N. K.</given></author> (<issued><year>1976</year></issued>) <title>â€œChemInform Abstract: SYNTHESIS OF Î²-1 .FAR. 6-D-GLUCAN. NEW POLYCONDENSATION REACTION.â€</title> <container-title>Chemischer Informationsdienst</container-title>, <volume>7</volume>(<issue>1</issue>), p. <page>no-no</page>. [online] Available from: <URL>http://dx.doi.org/10.1002/chin.197601352</URL>"
10.1007/s11010-009-0145-y,3,0,"<author><family>Sangeetha</family>, <given>R. K.</given>, <family>Bhaskar</family>, <given>N.</given> and <family>Baskaran</family>, <given>V.</given></author> (<issued><year>2009</year></issued>) <title>â€œComparative effects of Î²-carotene and fucoxanthin on retinol deficiency induced oxidative stress in rats.â€</title> <container-title>Molecular and Cellular Biochemistry</container-title>, <volume>331</volume>(<issue>1â€“2</issue>), pp. <page>59â€“67</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/s11010-009-0145-y</URL>"
